Source,web_scraper_order,specialization,fees,avg_rate,waiting_time,clinic_location,rate_count,doctor_views,pages
552 (1),1676130751-226,Physiotherapist,120 EGP,4,Waiting Time : 22 Minutes,El-Maadi : 9,From 125 Visitors,"14,856 View(s)",57
553 (1),1676130755-227,Cardiologist,400 EGP,4.5,Waiting Time : 53 Minutes,El-Maadi : Horreya Square,From 339 Visitors,"35,369 View(s)",
554 (1),1676130758-228,Gastroenterologist,300 EGP,4.5,Waiting Time : 1 Hour and 33 Minutes,Sidy Gaber : Portsaif,From 649 Visitors,"54,921 View(s)",
555 (1),1676130760-229,Neurologist,150 EGP,4,Waiting Time : 31 Minutes,El-Haram : Terat Al Zomir Street,From 1017 Visitors,"64,347 View(s)",
556 (1),1676130764-230,ENT Doctor,300 EGP,4.5,Waiting Time : 16 Minutes,El-Maadi,From 772 Visitors,"21,812 View(s)",
557 (1),1676130768-231,Orthopedist,150 EGP,4.5,Waiting Time : 13 Minutes,Ain Shams,From 125 Visitors,"11,812 View(s)",
558 (1),1676130771-232,Dermatologist,400 EGP,4.5,Waiting Time : 17 Minutes,6th of October : elmahwar el markazi,From 1284 Visitors,"63,374 View(s)",
559 (1),1676130774-233,Orthopedist,200 EGP,5,Waiting Time : 34 Minutes,Sidy Gaber : Elhoreia,From 645 Visitors,"50,322 View(s)",
560 (1),1676130778-234,Gynecologist,250 EGP,4.5,Waiting Time : 11 Minutes,El-Sheikh Zayed : Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone,From 74 Visitors,"5,117 View(s)",
561 (1),1676130781-235,Rheumatologist,250 EGP,4,Waiting Time : 15 Minutes,El-Haram :  Abo emera street,From 246 Visitors,"20,080 View(s)",
562 (1),1676130784-236,Pulmonologist,300 EGP,4.5,Waiting Time : 28 Minutes,El-Haram : Al Haram street -,From 1294 Visitors,"66,504 View(s)",
563 (1),1676131653-237,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,692 View(s)",1048
564 (1),1676131655-238,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,173 View(s)",1048
565 (1),1676131658-239,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,732 View(s)",1048
566 (1),1676131661-240,Gynecologist,150 EGP,,null,El-Haram,null,"1,143 View(s)",1048
567 (1),1676131664-241,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,039 View(s)",1048
568 (1),1676131673-242,Dentist,250 EGP,5,Waiting Time : 10 Minutes,Nasr City : Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant,From 216 Visitors,"20,354 View(s)",...
569 (1),1676131677-243,Dentist,200 EGP,4.5,Waiting Time : 14 Minutes,"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",From 640 Visitors,"12,767 View(s)",...
570 (1),1676131681-244,Dentist,400 EGP,4.5,Waiting Time : 12 Minutes,Nasr City : Abu Dawood Al-Zahery,From 427 Visitors,"21,380 View(s)",...
571 (1),1676131684-245,Dentist,400 EGP,5,Waiting Time : 10 Minutes,New Cairo : North,From 197 Visitors,"14,674 View(s)",...
572 (1),1676131687-246,Psychiatrist,300 EGP,4,Waiting Time : 38 Minutes,El-Mansoura : Hussein bek street in front of family regulation office,From 54 Visitors,"15,928 View(s)",...
573 (1),1676131690-247,Internist,350 EGP,4.5,Waiting Time : 22 Minutes,6th of October : nagda square,From 269 Visitors,"12,062 View(s)",...
574 (1),1676131694-248,Urologist,170 EGP,4.5,Waiting Time : 33 Minutes,El Minya City : Elgomhorya street,From 141 Visitors,"18,423 View(s)",...
575 (1),1676131698-249,Gynecologist,400 EGP,5,Waiting Time : 28 Minutes,"El-Sheikh Zayed : Twin Towers, 26 July Corridor",From 283 Visitors,"8,057 View(s)",...
576 (1),1676131701-250,Andrologist,200 EGP,4.5,Waiting Time : 58 Minutes,Assiut city : Al Helaly,From 236 Visitors,"20,458 View(s)",...
577 (1),1676131704-251,Cardiologist,250 EGP,4.5,Waiting Time : 27 Minutes,El-Haram : Al Haram street,From 222 Visitors,"14,647 View(s)",...
578 (1),1676131713-252,Nutritionist,300 EGP,4.5,Waiting Time : 24 Minutes,"10 Mohamed Awad st, branched from Makram Ebeid",From 574 Visitors,"44,491 View(s)",
579 (1),1676131716-253,Cardiothoracic Surgeon,310 EGP,4.5,Waiting Time : 13 Minutes,El-Mansoura : gehan st,From 7 Visitors,"4,436 View(s)",
580 (1),1676131720-254,Dentist,250 EGP,4.5,Waiting Time : 13 Minutes,"El-Mokattam : central Street, from 9 street",From 460 Visitors,"18,256 View(s)",
581 (1),1676131723-255,Cardiologist,500 EGP,4.5,Waiting Time : 15 Minutes,New Cairo : Next to Al baraka Mall,From 224 Visitors,"8,154 View(s)",
582 (1),1676131726-256,Vascular Surgeon,300 EGP,4.5,Waiting Time : 26 Minutes,El-Ibrahimia : portsaid,From 120 Visitors,"15,317 View(s)",
583 (1),1676131730-257,Physiotherapist,80 EGP,4,Waiting Time : 29 Minutes,Helwan : mohamed sayed ahmed street with rayel street,From 41 Visitors,"7,148 View(s)",
584 (1),1676131733-258,Pediatrician,150 EGP,4.5,Waiting Time : 33 Minutes,Ain Shams,From 209 Visitors,"11,990 View(s)",
585 (1),1676131736-259,Pediatric Surgeon,250 EGP,4.5,Waiting Time : 20 Minutes,El-Ibrahimia : port Said,From 203 Visitors,"63,726 View(s)",
586 (1),1676131740-260,Internist,250 EGP,4,Waiting Time : 15 Minutes,El-Abbasia : sergany st-abdo basha,From 39 Visitors,"6,164 View(s)",
587 (1),1676131743-261,Internist,400 EGP,4.5,Waiting Time : 27 Minutes,El-Mohandessin : El Kawser street,From 117 Visitors,"8,937 View(s)",
588 (1),1676131841-262,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,692 View(s)",1048
589 (1),1676131844-263,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,173 View(s)",1048
590 (1),1676131848-264,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,732 View(s)",1048
591 (1),1676131851-265,Gynecologist,150 EGP,,null,El-Haram,null,"1,144 View(s)",1048
592 (1),1676131855-266,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,039 View(s)",1048
593 (1),1676131863-267,Internist,250 EGP,4,Waiting Time : 10 Minutes,El-Sheikh Zayed : -Badr Eldeen Mall,From 430 Visitors,"15,881 View(s)",...
594 (1),1676131866-268,Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,El-Zaitoun : selem el awl,From 529 Visitors,"31,091 View(s)",...
595 (1),1676131870-269,Gynecologist,100 EGP,4,Waiting Time : 18 Minutes,Shoubra :  Al Taraa Al Bolaqiea,From 35 Visitors,"6,408 View(s)",...
596 (1),1676131873-270,ENT Doctor,300 EGP,4,Waiting Time : 6 Minutes,Heliopolis : gesr suez,From 431 Visitors,"32,292 View(s)",...
597 (1),1676131876-271,Dentist,100 EGP,4.5,Waiting Time : 19 Minutes,Tanta : Saad Zaghlool square-loaloa Tanta Tower-Above eltwheed w elnoor,From 28 Visitors,"2,526 View(s)",...
598 (1),1676131881-272,ENT Doctor,400 EGP,4.5,Waiting Time : 29 Minutes,6th of October : Prima-vista medical center,From 2208 Visitors,"72,479 View(s)",...
599 (1),1676131884-273,Neurologist,400 EGP,4.5,Waiting Time : 17 Minutes,El-Dokki : El Tahrir St.,From 275 Visitors,"20,055 View(s)",...
600 (1),1676131894-274,Ophthalmologist,700 EGP,4.5,Waiting Time : 53 Minutes,Heliopolis : Aboubakr Elsedik street-Safeer Square-Above ezz Eldeen pharmacy,From 47 Visitors,"20,904 View(s)",...
601 (1),1676131898-275,Gynecologist,200 EGP,4,Waiting Time : 7 Minutes,El-Haram : El talateny elgded of ezz el din omar,From 422 Visitors,"19,826 View(s)",...
602 (1),1676131902-276,Dentist,150 EGP,4.5,Waiting Time : 12 Minutes,El-Mokattam :  Al Eman Mosque,From 81 Visitors,"7,518 View(s)",...
603 (1),1676131911-277,Gynecologist,200 EGP,4.5,Waiting Time : 1 Hour and 1 Minute,Sidy Bishr : Gamal abelnasser st.,From 250 Visitors,"16,028 View(s)",62
604 (1),1676131916-278,Dentist,200 EGP,4,Waiting Time : 19 Minutes,El-Sheikh Zayed : Twin Towers-Damas Dental Center,From 174 Visitors,"18,233 View(s)",62
605 (1),1676131920-279,Cardiologist,250 EGP,4.5,Waiting Time : 1 Hour and 33 Minutes,Assiut city : Youssry Ragheb St.,From 158 Visitors,"14,092 View(s)",62
606 (1),1676131924-280,Internist,150 EGP,4.5,Waiting Time : 1 Hour and 24 Minutes,El Minya City,From 110 Visitors,"10,838 View(s)",62
607 (1),1676131934-281,Dentist,100 EGP,4.5,Waiting Time : 31 Minutes,Hadayek El-Ahram : Ahmed Bedeer,From 481 Visitors,"20,365 View(s)",62
608 (1),1676131939-282,Nutritionist,200 EGP,4.5,Waiting Time : 44 Minutes,Helwan : riad,From 76 Visitors,"11,984 View(s)",62
609 (1),1676131943-283,Nutritionist,80 EGP,4,Waiting Time : 23 Minutes,Helwan : mouhamed sayed ahmed street/rayel stret,From 32 Visitors,"7,923 View(s)",62
610 (1),1676131946-284,Physiotherapist,150 EGP,4.5,Waiting Time : 7 Minutes,Faisal : el arabeen elmaskeen,From 27 Visitors,"4,092 View(s)",62
611 (1),1676131953-285,Dentist,200 EGP,4.5,Waiting Time : 17 Minutes,El-Maadi : street 108,From 113 Visitors,"6,827 View(s)",62
612 (1),1676131956-286,Physiotherapist,120 EGP,4,Waiting Time : 11 Minutes,West El-Balad : Adly,From 42 Visitors,"8,250 View(s)",62
613 (1),1676131964-287,Physiotherapist,200 EGP,5,Waiting Time : 5 Minutes,Heliopolis : abu bakr el sedeek saffir sqaure,From 208 Visitors,"36,840 View(s)",
614 (1),1676131967-288,Gynecologist,250 EGP,4,Waiting Time : 26 Minutes,Hadayek El-Ahram : zen,From 337 Visitors,"28,379 View(s)",
615 (1),1676131970-289,Plastic Surgeon,400 EGP,4,Waiting Time : 11 Minutes,El-Ibrahimia : abokeir road,From 123 Visitors,"33,669 View(s)",
616 (1),1676131973-290,Dermatologist,450 EGP,4,Waiting Time : 23 Minutes,Heliopolis : El Khalifa El Mamoun street,From 909 Visitors,"141,116 View(s)",
617 (1),1676131977-291,General Surgeon,200 EGP,4.5,Waiting Time : 10 Minutes,Faisal,From 493 Visitors,"35,997 View(s)",
618 (1),1676131980-292,Internist,350 EGP,4,Waiting Time : 19 Minutes,Heliopolis,From 449 Visitors,"51,718 View(s)",
619 (1),1676131983-293,Pediatrician,150 EGP,4.5,Waiting Time : 33 Minutes,Ain Shams,From 209 Visitors,"11,990 View(s)",
620 (1),1676131986-294,Internist,400 EGP,,null,Beverly Hills,null,"28,592 View(s)",
621 (1),1676131989-295,Physiotherapist,80 EGP,4,Waiting Time : 29 Minutes,Helwan : mohamed sayed ahmed street with rayel street,From 41 Visitors,"7,148 View(s)",
622 (1),1676131992-296,Internist,250 EGP,4,Waiting Time : 15 Minutes,El-Abbasia : sergany st-abdo basha,From 39 Visitors,"6,164 View(s)",
623 (1),1676132964-312,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,694 View(s)",1048
624 (1),1676132967-313,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,175 View(s)",1048
625 (1),1676132970-314,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,735 View(s)",1048
626 (1),1676132972-315,Gynecologist,150 EGP,,null,El-Haram,null,"1,146 View(s)",1048
627 (1),1676132975-316,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,042 View(s)",1048
628 (1),1676132985-317,Dentist,100 EGP,4.5,Waiting Time : 9 Minutes,El-Manyal : Manial Museum Street,From 90 Visitors,"5,308 View(s)",...
629 (1),1676132989-318,Dentist,150 EGP,4.5,Waiting Time : 27 Minutes,El-Haram : Ezz El-Deen Omar Arish station Behind misr Bank,From 987 Visitors,"39,781 View(s)",...
630 (1),1676132992-319,Dentist,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : Beverly Hills-gate 9,From 68 Visitors,"5,185 View(s)",...
631 (1),1676132995-320,Dentist,300 EGP,4.5,Waiting Time : 31 Minutes,Nasr City : Makram Abeid,From 68 Visitors,"11,362 View(s)",...
632 (1),1676133000-321,Dentist,200 EGP,4.5,Waiting Time : 11 Minutes,El-Shorouk : grand mall third east expansions,From 91 Visitors,"4,986 View(s)",...
633 (1),1676133003-322,General Surgeon,250 EGP,4.5,Waiting Time : 5 Minutes,El-Mansoura,From 38 Visitors,"11,441 View(s)",...
634 (1),1676133005-323,Dentist,200 EGP,4.5,Waiting Time : 5 Minutes,El-Shorouk : main road (Gate 1 ismallia road),From 162 Visitors,"9,553 View(s)",...
635 (1),1676133008-324,Surgical Oncologist,300 EGP,5,Waiting Time : 19 Minutes,El-Maadi : EL Laselky street-beside Moamen square,From 41 Visitors,"5,100 View(s)",...
636 (1),1676133016-325,Dentist,350 EGP,4.5,Waiting Time : 9 Minutes,Nasr City : abo dawood zahry,From 114 Visitors,"12,330 View(s)",...
637 (1),1676133019-326,Gynecologist,300 EGP,5,Waiting Time : 1 Hour and 33 Minutes,El-Dokki : El Tahrir st.,From 113 Visitors,"18,720 View(s)",...
638 (1),1676133042-327,Dentist,250 EGP,5,Waiting Time : 22 Minutes,Heliopolis : othman ibn affan- Ismailia square,From 548 Visitors,"42,767 View(s)",64
639 (1),1676133045-328,Dentist,350 EGP,5,Waiting Time : 10 Minutes,El-Sheikh Zayed : elshabab,From 111 Visitors,"19,985 View(s)",64
640 (1),1676133048-329,Gynecologist,300 EGP,4,Waiting Time : 1 Hour and 1 Minute,Hadayek El-Kobba : Elgrash,From 22 Visitors,"9,985 View(s)",64
641 (1),1676133050-330,Internist,400 EGP,4.5,Waiting Time : 17 Minutes,El-Mansoura : Al seka algdeda,From 48 Visitors,"15,504 View(s)",64
642 (1),1676133054-331,Orthopedist,250 EGP,4.5,Waiting Time : 21 Minutes,Imbaba : Main wehda street,From 60 Visitors,"19,479 View(s)",64
643 (1),1676133058-332,Nutritionist,350 EGP,5,Waiting Time : 8 Minutes,El-Sheikh Zayed,From 145 Visitors,"5,330 View(s)",64
644 (1),1676133061-333,ENT Doctor,150 EGP,4,Waiting Time : 32 Minutes,"Ain Shams : 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",From 363 Visitors,"27,172 View(s)",64
645 (1),1676133064-334,Pulmonologist,300 EGP,4,Waiting Time : 19 Minutes,"6th of October : 7th distric, 1st neigborhood",From 174 Visitors,"7,279 View(s)",64
646 (1),1676133067-335,Dentist,150 EGP,4.5,Waiting Time : 21 Minutes,Faisal : hassan mohamed station-Feisal,From 814 Visitors,"53,358 View(s)",64
647 (1),1676133073-336,Internist,300 EGP,5,Waiting Time : 49 Minutes,Faisal : King Faisal street,From 1882 Visitors,"112,987 View(s)",63
648 (1),1676133076-337,Physiotherapist,250 EGP,4.5,Waiting Time : 10 Minutes,Hadayek El-Ahram : District G First Gate,From 9 Visitors,"2,756 View(s)",63
649 (1),1676133086-338,Dentist,200 EGP,4.5,Waiting Time : 23 Minutes,El-Rehab : Medical Center 3 clinic 209,From 85 Visitors,"6,764 View(s)",63
650 (1),1676133089-339,Dentist,250 EGP,4.5,Waiting Time : 16 Minutes,El-Maadi : 233,From 307 Visitors,"30,421 View(s)",63
651 (1),1676133093-340,Ophthalmologist,300 EGP,5,Waiting Time : 14 Minutes,New Cairo : Mostafa kamel,From 529 Visitors,"14,206 View(s)",63
652 (1),1676133096-341,Dentist,100 EGP,4.5,Waiting Time : 9 Minutes,Mahalla : Al Fareek Reda Hafez st.,From 94 Visitors,"14,963 View(s)",63
653 (1),1676133099-342,Orthopedist,250 EGP,4.5,Waiting Time : 14 Minutes,El-Haram : khatam Al Morsalen Street,From 147 Visitors,"8,966 View(s)",
654 (1),1676133101-343,Vascular Surgeon,70 EGP,4,Waiting Time : 33 Minutes,Bakos : elhelal nady str,From 114 Visitors,"10,440 View(s)",
655 (1),1676133104-344,Gynecologist,150 EGP,4,Waiting Time : 14 Minutes,El-Dokki : El Tahrir street,From 69 Visitors,"6,317 View(s)",
656 (1),1676133107-345,Dentist,200 EGP,4.5,Waiting Time : 15 Minutes,New Cairo : medical park 1,From 70 Visitors,"9,960 View(s)",
657 (1),1676133110-346,Dentist,250 EGP,4.5,Waiting Time : 10 Minutes,El-Sheikh Zayed : Downtown mall,From 156 Visitors,"10,517 View(s)",
658 (1),1676133113-347,ENT Doctor,400 EGP,4.5,Waiting Time : 29 Minutes,6th of October : Prima-vista medical center,From 2208 Visitors,"72,480 View(s)",
659 (1),1676133116-348,Dentist,250 EGP,5,Waiting Time : 10 Minutes,Nasr City : Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant,From 216 Visitors,"20,355 View(s)",
660 (1),1676133119-349,Internist,250 EGP,4,Waiting Time : 10 Minutes,El-Sheikh Zayed : -Badr Eldeen Mall,From 430 Visitors,"15,882 View(s)",
661 (1),1676133122-350,Physiotherapist,100 EGP,4.5,Waiting Time : 20 Minutes,Helwan,From 143 Visitors,"12,921 View(s)",
662 (1),1676133125-351,Neurologist,400 EGP,4.5,Waiting Time : 17 Minutes,El-Dokki : El Tahrir St.,From 275 Visitors,"20,056 View(s)",
663 (1),1675614263-68,Pediatrician,200 EGP,5,Waiting Time : 14 Minutes,El-Badrashin : Athar Saqara,From 19 Visitors,"1,115 View(s)",2
664 (1),1675614257-67,Plastic Surgeon,500 EGP,5,Waiting Time : 29 Minutes,null,From 19 Visitors,960 View(s),2
665 (1),1675614232-63,Gynecologist,175 EGP,5,Waiting Time : 13 Minutes,null,From 16 Visitors,"5,708 View(s)",2
666 (1),1675614226-62,General Surgeon,130 EGP,5,Waiting Time : 8 Minutes,El-Agamy : Alex Matrouh Road-Abo Youssef-Besides Elsaberen Mosque,From 16 Visitors,"1,143 View(s)",2
667 (1),1675614220-61,Psychiatrist,250 EGP,5,Waiting Time : 10 Minutes,null,From 16 Visitors,790 View(s),2
668 (1),1675614251-66,Ophthalmologist,180 EGP,5,Waiting Time : 14 Minutes,Banha : Saad Zaghloul Street - Anani Tower,From 19 Visitors,"1,761 View(s)",2
669 (1),1675614245-65,Pediatrician,300 EGP,5,Waiting Time : 21 Minutes,null,From 19 Visitors,833 View(s),2
670 (1),1675614239-64,Phoniatrician,350 EGP,5,Waiting Time : 8 Minutes,El-Shorouk : Al shorouk,From 18 Visitors,"1,525 View(s)",2
671 (1),1675614214-60,Dermatologist,400 EGP,5,Waiting Time : 16 Minutes,null,From 15 Visitors,"2,922 View(s)",2
672 (1),1675614269-69,Gynecologist,150 EGP,5,Waiting Time : 14 Minutes,Assiut city : thabet Street,From 19 Visitors,"3,262 View(s)",2
673 (1),1675614165-53,Pulmonologist,200 EGP,5,Waiting Time : 10 Minutes,El-Mansoura : Gehan,From 14 Visitors,"2,205 View(s)",3
674 (1),1675614153-51,Ophthalmologist,175 EGP,5,Waiting Time : 38 Minutes,El-Amreya : Elamreya,From 14 Visitors,644 View(s),3
675 (1),1675614196-58,Pulmonologist,200 EGP,5,Waiting Time : 15 Minutes,"El-Zagazig : Salah salem Clinics,,Salah Salem St",From 15 Visitors,"4,371 View(s)",3
676 (1),1675614177-55,Nutritionist,350 EGP,5,Waiting Time : 1 Hour and 34 Minutes,Nasr City : nasr st,From 14 Visitors,"2,029 View(s)",3
677 (1),1675614190-57,Vascular Surgeon,250 EGP,5,Waiting Time : 22 Minutes,Hadayek El-Kobba : misr wa alsudan,From 15 Visitors,585 View(s),3
678 (1),1675614160-52,Nutritionist,180 EGP,5,Waiting Time : 23 Minutes,Shibin El-Kom : Abdelkhalek Street from Assem Hama Street,From 14 Visitors,"1,793 View(s)",3
679 (1),1675614202-59,Pediatrician,110 EGP,5,Waiting Time : 10 Minutes,El-Mansoura : Elgendy Tower fromGehan El Sadat Street,From 15 Visitors,"1,001 View(s)",3
680 (1),1675614184-56,Pediatrician,150 EGP,5,Waiting Time : 6 Minutes,Damanhur : abd elsalam el shazly,From 15 Visitors,"3,434 View(s)",3
681 (1),1675614147-50,Gynecologist,450 EGP,5,Waiting Time : 27 Minutes,null,From 14 Visitors,718 View(s),3
682 (1),1675614171-54,Rheumatologist,400 EGP,5,Waiting Time : 9 Minutes,Nasr City :  Elnozha st.,From 14 Visitors,"1,904 View(s)",3
683 (1),1675614128-48,,150,,null,null,null,260 View(s),4
684 (1),1675614116-46,Gynecologist,300 EGP,5,Waiting Time : 37 Minutes,El-Maadi : Kornish Maadi street,From 13 Visitors,"6,228 View(s)",4
685 (1),1675614134-49,Psychiatrist,400 EGP,5,Waiting Time : 25 Minutes,null,From 14 Visitors,"1,148 View(s)",4
686 (1),1675614098-43,Internist,200 EGP,5,Waiting Time : 26 Minutes,null,From 13 Visitors,"1,074 View(s)",4
687 (1),1675614078-40,Obesity Surgeon,300 EGP,5,Waiting Time : 11 Minutes,Heliopolis : Hassan Sadek from elmarghany street,From 12 Visitors,"3,764 View(s)",4
688 (1),1675614092-42,Oncologist,200 EGP,5,Waiting Time : 7 Minutes,Tanta : The intersection of Al Bahr Street with Al Khan,From 12 Visitors,"2,080 View(s)",4
689 (1),1675614085-41,Dentist,100 EGP,5,Waiting Time : 15 Minutes,Shoubra : Solwans St from Shoubra st - menyt elserg,From 12 Visitors,510 View(s),4
690 (1),1675614122-47,Endocrinologist,350 EGP,5,Waiting Time : 33 Minutes,null,From 13 Visitors,"1,053 View(s)",4
691 (1),1675614110-45,Gynecologist,700 EGP,5,Waiting Time : 13 Minutes,El-Rehab : The Fount Mall North investors,From 13 Visitors,"4,264 View(s)",4
692 (1),1675614104-44,Gynecologist,200 EGP,5,Waiting Time : 38 Minutes,null,From 13 Visitors,"1,466 View(s)",4
693 (1),1675614016-31,Plastic Surgeon,400 EGP,5,Waiting Time : 8 Minutes,Stanley : El- Gaish Roaf,From 11 Visitors,"7,525 View(s)",5
694 (1),1675614041-35,Gynecologist,300 EGP,5,Waiting Time : 1 Hour,Smouha :  Fawzy Moaz,From 11 Visitors,"4,575 View(s)",5
695 (1),1675614029-33,Plastic Surgeon,300 EGP,5,Waiting Time : 16 Minutes,Hadayek El-Kobba : lotfy el sayed,From 11 Visitors,"2,286 View(s)",5
696 (1),1675614022-32,Dentist,100 EGP,5,Waiting Time : 16 Minutes,Bahary : safr basha,From 11 Visitors,892 View(s),5
697 (1),1675614066-39,Neurologist,350 EGP,5,Waiting Time : 9 Minutes,null,From 12 Visitors,970 View(s),5
698 (1),1675614054-37,General Surgeon,115 EGP,5,Waiting Time : 7 Minutes,El-Zagazig : Elmahad Eldeny street,From 11 Visitors,"6,190 View(s)",5
699 (1),1675614048-36,Cardiologist,150 EGP,5,Waiting Time : 25 Minutes,Tanta : Segar St,From 11 Visitors,"1,008 View(s)",5
700 (1),1675614060-38,Pediatrician,400 EGP,5,Waiting Time : 32 Minutes,Nasr City : anwar elmofty,From 11 Visitors,986 View(s),5
701 (1),1675614035-34,Dentist,120 EGP,5,Waiting Time : 8 Minutes,null,From 11 Visitors,313 View(s),5
702 (1),1675614009-30,Gynecologist,400 EGP,5,Waiting Time : 10 Minutes,El-Sheikh Zayed : Khamael City-gate 4-administration gates-infront of GLOURS School,From 11 Visitors,"2,301 View(s)",5
703 (1),1675613979-26,Dentist,120 EGP,5,Waiting Time : 10 Minutes,null,From 10 Visitors,338 View(s),6
704 (1),1675613991-28,Orthopedist,500 EGP,5,Waiting Time : 1 Hour,null,From 11 Visitors,"3,928 View(s)",6
705 (1),1675613985-27,Psychiatrist,200 EGP,5,Waiting Time : 26 Minutes,null,From 11 Visitors,906 View(s),6
706 (1),1675613940-20,Hematologist,400 EGP,5,Waiting Time : 11 Minutes,null,From 10 Visitors,467 View(s),6
707 (1),1675613972-25,Orthopedist,200 EGP,5,Waiting Time : 23 Minutes,null,From 10 Visitors,624 View(s),6
708 (1),1675613997-29,Endocrinologist,400 EGP,5,Waiting Time : 31 Minutes,Heliopolis : Cleopatra St,From 11 Visitors,442 View(s),6
709 (1),1675613948-21,Dermatologist,750 EGP,5,Waiting Time : 27 Minutes,null,From 10 Visitors,367 View(s),6
710 (1),1675613960-23,Nutritionist,250 EGP,5,Waiting Time : 7 Minutes,Sidy Gaber : Super Jet Square Street,From 10 Visitors,"1,329 View(s)",6
711 (1),1675613954-22,Psychiatrist,250 EGP,5,Waiting Time : 22 Minutes,null,From 10 Visitors,799 View(s),6
712 (1),1675613966-24,Orthopedist,300 EGP,5,Waiting Time : 13 Minutes,Roshdy : Elhoreya street-Roshdy,From 10 Visitors,317 View(s),6
713 (1),1675630696-149,Dentist,100 EGP,5,Waiting Time : 4 Minutes,null,From 8 Visitors,"1,391 View(s)",8
714 (1),1675631589-199,Dentist,100 EGP,5,Waiting Time : 4 Minutes,null,From 8 Visitors,"1,392 View(s)",8
715 (1),1675630721-154,Gynecologist,100 EGP,5,Waiting Time : 24 Minutes,Mahalla : shon,From 8 Visitors,959 View(s),8
716 (1),1675631620-204,Gynecologist,100 EGP,5,Waiting Time : 24 Minutes,Mahalla : shon,From 8 Visitors,960 View(s),8
717 (1),1675630716-153,Dentist,100 EGP,5,Waiting Time : 21 Minutes,null,From 8 Visitors,341 View(s),8
718 (1),1675631614-203,Dentist,100 EGP,5,Waiting Time : 21 Minutes,null,From 8 Visitors,342 View(s),8
719 (1),1675630701-150,Nutritionist,700 EGP,5,Waiting Time : 15 Minutes,El-Sheikh Zayed : Elmehwar Elmarkazi,From 8 Visitors,"2,396 View(s)",8
720 (1),1675631596-200,Nutritionist,700 EGP,5,Waiting Time : 15 Minutes,El-Sheikh Zayed : Elmehwar Elmarkazi,From 8 Visitors,"2,397 View(s)",8
721 (1),1675630691-148,Pediatrician,250 EGP,5,Waiting Time : 17 Minutes,null,From 8 Visitors,607 View(s),8
722 (1),1675631584-198,Pediatrician,250 EGP,5,Waiting Time : 17 Minutes,null,From 8 Visitors,608 View(s),8
723 (1),1675630731-156,Dentist,300 EGP,5,Waiting Time : 13 Minutes,Nasr City : EL Nasr ST,From 8 Visitors,493 View(s),8
724 (1),1675631630-206,Dentist,300 EGP,5,Waiting Time : 13 Minutes,Nasr City : EL Nasr ST,From 8 Visitors,494 View(s),8
725 (1),1675630726-155,Internist,"1,500 EGP",5,Waiting Time : 20 Minutes,New Cairo : S. Teseen,From 8 Visitors,"9,529 View(s)",8
726 (1),1675631625-205,Internist,"1,500 EGP",5,Waiting Time : 20 Minutes,New Cairo : S. Teseen,From 8 Visitors,"9,530 View(s)",8
727 (1),1675630736-157,Cardiologist,350 EGP,5,Waiting Time : 5 Minutes,El-Sheikh Zayed : District 12 Courtyard zayed,From 8 Visitors,844 View(s),8
728 (1),1675630706-151,Nutritionist,300 EGP,5,Waiting Time : 13 Minutes,null,From 8 Visitors,375 View(s),8
729 (1),1675631601-201,Nutritionist,300 EGP,5,Waiting Time : 13 Minutes,null,From 8 Visitors,376 View(s),8
730 (1),1675631635-207,Gynecologist,120 EGP,5,Waiting Time : 13 Minutes,El-Mansoura : Elnour Tower-Salah Salem Street-Talkha,From 8 Visitors,374 View(s),8
731 (1),1675630711-152,Ophthalmologist,300 EGP,5,Waiting Time : 14 Minutes,El-Shorouk : Panorama Mall Street,From 8 Visitors,252 View(s),8
